protA	protB	interaction
P9WKW7	P9WGZ1	YES
Q06263	Q8VCD5	NO
P62937	P46108-1	YES
O60504-2	P17612	NO
Q9QZ88	Q12768	YES
O43303	Q63564	NO
P06241	P04626	YES
Q96QK1	P33775	NO
Q8N0S2	P02545-2	YES
P31382	P40335	NO
O75581	Q9BQB4	YES
P37870	P08151	NO
Q9QZ88	Q5T1M5	YES
P68135	P62068-1	NO
P53673	P08151	YES
P24588	Q14457	NO
P10599	P18031	YES
Q96SW2-2	P20749	NO
P01112	Q03385	YES
P12830	P35908	NO
Q13362	Q00987	YES
P13196	Q8N490	NO
Q9HBW1	Q96CW9	YES
P25445-1	P28482	NO
Q6RW13-2	Q8NI60	YES
Q5EBH1-1	O00167-1	NO
P22892	P19554	YES
P40259	P02309	NO
Q8PJX9	Q8PND9	YES
O35274	O43747	NO
P41916	Q8RWG8	YES
P46108	Q96PC3	NO
Q5JVL4	Q5JST6	YES
Q9JIF3	P63088	NO
Q07817-1	O43521-3	YES
Q83YM6	Q8TBB1	NO
Q62910-1	Q9D1J1	YES
Q8TE30	O73557	NO
Q91V27	P63011	YES
Q62120	P35908	NO
Q4UU85	A0A0H2X3K2	YES
Q9UKG1	P52655	NO
P21184	Q9FL28	YES
P35222	O67198	NO
Q96D46	O14980	YES
P40337	B1AYL1	NO
Q15554	Q96QC0	YES
P22892	Q13158	NO
Q9Y6W5	Q9Y2A7	YES
Q5JVL4	Q9CR95	NO
Q03135	Q9GZQ8	YES
Q8LBM2	Q9UG22	NO
Q08484	P51996	YES
Q96D31	P14174	NO
P26367-1	P63166	YES
Q9FIP9	Q8NHV1	NO
P18852	P18851	YES
Q67XQ1	Q5S007	NO
Q3UP24	P28867	YES
Q8I3V5	Q9Z0J4	NO
Q8ML92	Q8WXI2	YES
Q9ZWS6	P04350	NO
Q9Y6W8	O75144	YES
P47074	P54252-1	NO
Q92685	O43889-2	YES
Q14106	Q61188-1	NO
P30048	Q5S007	YES
P62805	P33225	NO
Q9ULZ3	P43405	YES
P43361	Q61140	NO
Q9NSC5	Q14517	YES
P55072	Q62696	NO
P39007	Q99380	YES
P62799	P51159-1	NO
P60709	P63261	YES
Q5S007	P43405	NO
Q96B67	Q96PU5	YES
P37840	Q86WJ1-1	NO
O43765	P28799	YES
O60885-1	Q12292	NO
P49247	Q8N5M1	YES
O60500-1	P0CG48	NO
O35987	Q01853	YES
B1Q2W9	Q9JIF3	NO
P38919	Q9HCG8	YES
P53135	Q16539	NO
P40855	P56589	YES
P22216	Q15256	NO
P68036	Q9Y4X5	YES
Q8BKI2	P08514	NO
Q15323	P07510-2	YES
P35637	P27958	NO
P01892	Q9BX59	YES
P08631	Q92973-2	NO
P49917	Q96SD1	YES
P35222	P03496	NO
P19320	Q5JXB2	YES
O43889-2	P0A8V2	NO
Q9HD67	P43146	YES
Q8N4S9	Q9Z0H3	NO
P70335	P61588	YES
P02538	Q9EP80	NO
O60260	Q9Y3I1	YES
P53667	P61764	NO
Q9Y2Y0	P36404	YES
P20340	Q60838	NO
O74804	Q10432	YES
P19320	P51608	NO
Q8IXK0-5	O43395	YES
Q9UBL3-3	P62805	NO
Q14997	P62805	YES
P62140	Q924T7	NO
Q2RIF6	Q2RIF5	YES
Q9ULZ3	Q9H267	NO
Q96L93	Q15075	YES
Q8K1M6-3	P19554	NO
Q7XJ80	Q9SUR9	YES
Q9Y2C9	P32598	NO
P06789	P09914	YES
P48509	P50148	NO
P55211	P43146	YES
O00506	P05919	NO
O36972	Q08209-1	YES
Q92845	O75340	NO
Q4UU85	A0A0H2X9J2	YES
P55011	Q13951	NO
Q53W63	Q5SHR6	YES
P25367	P17693	NO
P39688	O88890	YES
Q08379	O43707	NO
Q96E14-1	Q13472	YES
Q8SVZ5	Q9Y3E7-1	NO
P09467	O00757	YES
O15234	O96028	NO
Q9Q0V0	Q9Q0U9	YES
Q9W2S2	P07315	NO
P61088	Q9Y4K3	YES
Q92698	Q13563-1	NO
P13942	Q16832	YES
Q8N2W9	P35609	NO
O75084	O00560	YES
Q38869	P63000	NO
P08487	Q03526	YES
P14618-1	Q01968	NO
O14745	P60484	YES
Q15583-2	P42684	NO
Q96E14-1	Q9H9A7	YES
Q9C005	O00206	NO
O43521-3	Q07812	YES
P11532	Q09472	NO
P53805-2	Q61214	YES
P19456	O08785	NO
P51617	Q99836-1	YES
P03243-1	P53894	NO
Q62108	Q62179	YES
Q71DI3	P36662	NO
P62805	Q9SU94	YES
P60953	Q7PLK0	NO
O60762	Q9P2X0	YES
O95251	O75663	NO
Q6FI13	Q86WJ1-1	YES
P51617	P53805-2	NO
G0S6M7	G0SCM5	YES
Q9UBT2	P11346	NO
O75376	P20393	YES
Q9JIY2	Q6UWZ7	NO
Q29960	P43628	YES
P38398	Q14247	NO
P06213	P35569	YES
Q9Y2W2	O75344	NO
Q13363-2	Q15583-2	YES
Q92569	Q9LVI4	NO
Q99952	P42684	YES
Q13191	Q91WC1	NO
Q9UI10	P49770	YES
O60762	Q6FI13	NO
P40565	Q07930	YES
P10148	Q9BRK4	NO
Q01094	Q92547	YES
O95271	Q9BZW8	NO
P9WHW5	P9WJ69	YES
P39743	P49598	NO
O15169	P49841	YES
O75832	O18973	NO
Q9Y297	Q62696	YES
P55034	Q9ULH0	NO
Q99697-3	P10037	YES
Q15326	O94742	NO
Q07812	Q92843	YES
O34843	P23443-2	NO
Q92325	Q12018	YES
Q99732	P41236	NO
Q9UKB1	P33896	YES
P50552	O15400	NO
Q06708	P43601	YES
Q03347	Q9Y5A9	NO
P28482	Q02750	YES
Q9QWJ9	Q8N264-1	NO
P0AC02	P0A940	YES
Q8N6F8	P63261	NO
O88797	P52800	YES
Q99732	Q13242	NO
Q9NZN3	Q8N3F8	YES
P35609	Q3U182	NO
P63208	Q13309	YES
P34144	Q8N5M1	NO
Q6ZWX6	Q9Z2R9	YES
P08670	Q8IYM1	NO
P05771-1	P68431	YES
Q13618	P10721	NO
Q64151	Q9Z2H7	YES
P33334	O95477	NO
O14602	P41235-3	YES
P17799	P12003-1	NO
Q9NRY6	O75340	YES
Q3KTM2	P06241	NO
Q9LYW5	O81775	YES
Q969S3	O75771	NO
P04551	P36630	YES
Q9Y3R0	Q9UJ71	NO
P08069	Q9UJU2	YES
B5BUJ7	Q71SY5	NO
P26039	P05556	YES
P31749	P69931	NO
O43521	P55957	YES
Q9EQH3	P0CG53	NO
P14204	P71002	YES
P24339	Q05397	NO
P15311	P07384	YES
Q8R313	O35179	NO
P18031	P04632	YES
P03495	O43765	NO
Q8W4J8	Q83YM6	YES
P36104	Q7ZX96	NO
Q9JIY2	Q14247	YES
Q5EWX9	P32598	NO
Q6UWZ7	P38398	YES
P70315	Q03164	NO
P42337	P01116	YES
O60500	O00255-2	NO
O00300	O14788	YES
P0DMV8	P48510	NO
P30285	P25322	YES
P28799	P08151	NO
O95999	Q9Y297	YES
Q8WUM4	P56945	NO
Q9VKM1	Q9VQ91	YES
P69730	O75815-1	NO
O43752	Q15836	YES
Q96QK1	Q63622	NO
Q10CQ1	Q6EU39	YES
Q9FE22	P15382	NO
P30279	P11802	YES
P40075	Q9UKT5	NO
Q15843	P61081	YES
Q48824	Q8N5M1	NO
Q13618	Q8IWE4	YES
P21912	O43196	NO
Q12923	Q16513	YES
Q8IWL3	O15457	NO
Q8BGW0	P62993	YES
Q92754	Q17551	NO
P35637	Q92973-2	YES
Q42453	Q13137	NO
P27958	P08631	YES
Q9R016	Q9UKT9	NO
Q5SW45	Q3UK10	YES
Q9NPJ1	P41543	NO
P10276	Q60974	YES
P46937	Q6P1J9	NO
P21965	P19812	YES
D4A055	Q00987	NO
P0CG53	P38753	YES
O00299	P49816	NO
O95251	P53350	YES
P56546	Q1MTN9	NO
O75663	P63330	YES
P19320	Q9JKD8	NO
Q55559	Q55436	YES
Q5ZRQ1	P0CG48	NO
O60333-3	P31016	YES
Q55389	Q62193	NO
P61157	Q60598	YES
Q9LKZ3	Q96Q27	NO
O95402	O60583	YES
P01111	O43707	NO
Q8W4J8	O49687	YES
P62259	Q02647	NO
Q9HB90	Q8NBW4-1	YES
Q13133	Q2V2M9-4	NO
Q62120	P46527	YES
Q9Z214-1	Q02410	NO
O60333-3	O88382	YES
E9PH57	P87074	NO
G5EFM0	Q17941	YES
Q04206	P61830	NO
P38768	P25638	YES
Q64702	P21333	NO
Q8NI60	Q96DZ9-2	YES
Q16186	Q9BX59	NO
P9WI81	P71590	YES
P62805	Q8BG40	NO
P04387	P13045	YES
Q02742	P02786	NO
A0A0H3CDI6	A0A0H3C9D0	YES
Q9QZ88	Q9NPI6	NO
P27986	Q8IZP0	YES
P06239	Q92843	NO
Q9XGM3	P0DKH5	YES
Q07817-1	Q13418	NO
P28799	O43597	YES
P12830	P08603	NO
P10276	P03372	YES
Q99NF2-1	Q8BHJ5	NO
P9WGY9	P9WJG3	YES
O14503	Q06148	NO
P37840	P68510	YES
Q13526	P35609	NO
P11309-2	Q9BZS1-1	YES
Q04477	Q86UW9	NO
P43628	P30505	YES
O88895	Q16531	NO
P41916	Q9LMK7	YES
Q8N5M1	P25638	NO
P62331	O60271	YES
P51617	P30711	NO
P27958	P06239	YES
Q8K4M9	P20339	NO
Q13573	Q56061	YES
P42772	Q02241	NO
P60484-1	Q5T2D3	YES
O60934	O60260	NO
P62805	Q16576	YES
Q96CW9	Q8NI60	NO
P98161	Q13563-1	YES
Q9QZ88	Q06628	NO
P42771	P62826	YES
Q14145	O75569	NO
Q9BZS1	P86479	YES
P20226	P9WIS5	NO
P07510-2	P60409-2	YES
H7BX60	Q8NB16	NO
Q15323	P35908	YES
Q9Y4C1	P02749	NO
Q9JIY2	P12830	YES
Q9BUI4	P56817	NO
Q8C0P5	P55055	YES
Q13625-2	P53355	NO
Q8BTI9	P60766	YES
O75603	P18583	NO
Q0KK55	P20357	YES
Q5MP56	Q9ERI2	NO
Q9BV40	Q9UNK0	YES
Q15645	P14291	NO
P32121	P17813	YES
P42410	P11940	NO
A5JGM8	P21707	YES
Q14997	Q2RIF6	NO
Q6GQT6	Q9Y5U4	YES
P63166	Q93KQ6	NO
Q92569	Q9NP31	YES
Q9Y5B9	P84875	NO
P38919	P19320	YES
P89903	Q13148	NO
Q9Y6W5	Q7L576	YES
P16104	P13010	NO
Q00944	P09619	YES
Q9JI18	Q3UMR0	NO
O43516	Q60598	YES
P35154	Q61411	NO
P14753	Q62120	YES
P62805	Q9CAJ0	NO
A1A4E9	P35908	YES
Q84JG2	Q9Y294	NO
P45432	Q8W207	YES
Q9UDY2-3	Q9UNA4	NO
P48168	Q05655	YES
P11362	P23179	NO
Q12306	P25454	YES
Q99741	P0ACF8	NO
Q9C005	Q8IXM2	YES
P61981	Q01105	NO
Q15046	P08865	YES
P15056	O94875-10	NO
P35240	O95835	YES
Q9UHD9	Q99961-1	NO
Q8R313	Q62739	YES
P13096	Q96DZ9-2	NO
O35179	O43295	YES
P31749	Q9Y2I7	NO
P40427	P09087	YES
P06753	O60220	NO
P37370	P36006	YES
P10415	Q0PEV3	NO
Q5AH02	Q5AAF4	YES
P40616	P68619	NO
P40939	Q9GZQ8	YES
Q9UHD9	Q15118	NO
P9WNK5	P9WNB1	YES
Q08379	Q08AM6	NO
P35568	P08069	YES
P42337	P27958	NO
P16333	P06241	YES
Q9Y4E1	O14832	NO
Q15831	Q3YBA8	YES
P35561	Q14155	NO
Q96RD7	P55210	YES
O60880-1	B2RYN6	NO
Q15046	Q13155	YES
Q63187	P40692	NO
P23381	P33151	YES
O14893	P19174	NO
P05106	P08514-1	YES
O95999	P20340	NO
P08727	P35908	YES
P05094	Q4KLP8	NO
O43827	P35609	YES
P23396	P02538	NO
Q9SE33	P55737	YES
O14920	Q9UBB9	NO
P33309	P32769	YES
Q07817-1	Q9UH73	NO
P0C581	Q7SDP4	YES
Q13616	P30285	NO
P01111	Q14449	YES
Q9WV48-4	P97784	NO
Q8WTS6	Q9WVH4	YES
Q07812	Q8N5M1	NO
P05067-4	P49768	YES
O43707	P11940	NO
P60010	P46680	YES
O14796	O04719	NO
Q7DMN9	Q8GSA7	YES
P02647	Q8CJH3	NO
P62993	O43295	YES
P68104	O43157	NO
P35609	Q8WW35	YES
O94888	P32780	NO
P21462	O15264	YES
Q12913	Q03135	NO
P81122	P06213-1	YES
O75175	Q8NG31-2	NO
P60410	P07510-2	YES
Q9H492	P53739	NO
P40337	Q15370	YES
P12688	Q9BXS4	NO
P55317	P03372	YES
P35240	P13681	NO
P63208	Q8TCJ0	YES
O15047	P10451-1	NO
Q8N1L9-1	P05412	YES
P18031	P31749	NO
P12104	O95994	YES
Q96KN7-4	Q6VVB1	NO
O95863	O60341	YES
P0C0F6	P02686	NO
Q00944	P00523	YES
Q6RW13-2	Q9R0M6	NO
P62805	O82210	YES
Q9NVS9	Q8BPQ7-1	NO
Q8BG40	Q8CJ27	YES
Q9UBL3-3	P19320	NO
Q54N00	P34144	YES
P0ACF8	O43255	NO
O95073-2	Q8N5M1	YES
P33568	O95931	NO
P68135	Q8K4J6	YES
Q92828	P33748	NO
Q495A1	Q92692	YES
P55055	P43565	NO
Q96AP0	Q9BSI4	YES
Q02630	Q83YM6	NO
P38182	P40344	YES
Q05397	Q92351	NO
Q13616	Q8TCJ0	YES
P39052	Q9URY2	NO
Q9BZD4	P33981-1	YES
Q71F23-1	P0A9H9	NO
Q8TAI7	P42345	YES
P14618	P04608	NO
Q79PF4	Q79PF6	YES
P62877	P06240	NO
Q6NYB7	O35394	YES
Q8IYA8	Q9M7X9	NO
Q10567	P19554	YES
P61769	P48510	NO
Q810U4	Q62108	YES
Q5S006	O43752	NO
Q63450	Q3MUI1	YES
P08487	P60201-2	NO
Q6P1J9	P13196	YES
Q9BV40	P13631	NO
G5E962	Q8N490	YES
O15400	P03372	NO
P31742	P34027	YES
Q5JVL4	O88712	NO
P50281	Q9R064	YES
Q9GZV8	P49768	NO
Q9Z2D6	Q8BHJ5	YES
P11345	Q96AX1	NO
O88751-1	Q99NF2-1	YES
Q9GZT9	O95166	NO
G5EG62	P09446	YES
Q12873	Q9NWZ3	NO
P63104	Q14678-2	YES
Q80TS3	P39968	NO
Q8K4B2	Q9NWZ3	YES
P25963	A0A1B0GVM0	NO
Q9QZ88-1	O75436	YES
Q06708	Q9QZ88	NO
Q5JVL4	Q08379	YES
Q496J9	Q9NWZ3	NO
Q17551	Q3SWS8	YES
Q6PB44	P46674	NO
O43889-2	P82251	YES
Q9Y5J1	P43565	NO
Q96CB9-1	Q7Z6M4	YES
P43250	Q9H2K2	NO
P05106	P18031	YES
Q6P1J9	Q8AXF4	NO
Q570C0	Q38825	YES
Q01831-1	O95352-2	NO
Q9GZV8	Q8N5M1	YES
P52205	P11274	NO
P49768	Q01705	YES
Q16667	O00255-2	NO
Q9D451	O55131	YES
Q9NPD8	Q9FN03	NO
O43464	P98170	YES
P24941	P17535	NO
P0A6B9	P0ACD6	YES
P25206	P63159	NO
Q38825	Q94AH6	YES
Q61881	Q9Y6Y9	NO
Q62925	P22314	YES
P06213	O88900	NO
P0ABZ1	P06974	YES
P62820	O89053	NO
Q99549	P68431	YES
Q01968	P63092	NO
Q13740	P17931	YES
O15265	O43516	NO
O43157-1	Q92730	YES
Q93062-3	P42227	NO
Q8IWE4	Q13618-1	YES
Q9Y3C5	O00213	NO
Q3E840	Q02908	YES
P36054	Q9Y281	NO
Q5JII0	Q5JII1	YES
P31947	Q13291	NO
O43889-2	Q01453	YES
Q15291	P53323	NO
Q05397	P54939	YES
Q9X2H8	Q15311	NO
P25815	P23297	YES
P43897-2	Q9WZ57	NO
Q9VNE4	O97143	YES
P07237	P19012	NO
Q9Y5V3	P35219	YES
P61586	P20263	NO
Q12959	P36507	YES
P27958	P0CB50	NO
P60866	Q00987	YES
P14693	Q5JII1	NO
P23198	D4A055	YES
O13097	Q38919	NO
P06753	Q03933	YES
Q5S2C3	P52631	NO
P46675	P53267	YES
C4M483	P32660	NO
P28068	P01903	YES
O43150	Q8NBW4-1	NO
Q39238	Q8LJT8	YES
O15169	B5XST9	NO
Q90Z80	Q9I9K6	YES
P46937	P38212	NO
Q7RSF0	Q7RQ71	YES
P53041	Q9P7A0	NO
Q9Y4K3	O43734-2	YES
Q9UI14	Q7TPH6	NO
Q9UKK6	Q9UBU9	YES
P37840	P9WGY9	NO
P24385	P12830	YES
P9WJG3	P68510	NO
Q9JXV4	P08603	YES
Q13362-1	O94829	NO
P63159	O00206	YES
O94829	O95866	NO
P18206-2	Q8IY67-1	YES
O35235-1	Q76N32	NO
Q14106	P11940	YES
Q92636	Q96J02	NO
Q61188-1	Q921E6	YES
Q9C005	Q12306	NO
O60828	Q9Y2W2	YES
Q4KMG0	P70444	NO
Q96JB5	O75344	YES
Q6VVB1	Q86VP1-2	NO
P0AF28	P0AFA2	YES
O15169	P31111	NO
Q12834	Q13257	YES
Q8R173	O00233	NO
Q9EP80	P19492	YES
Q2PZL6	Q91YW3	NO
P02538	Q9BVG8	YES
P15104	P08238	NO
P19493	P49185	YES
P08069	P9WNB1	NO
P78527	Q96SD1	YES
Q9UMX0-2	P49951	NO
P0A6B9	Q8XAP0	YES
P9WNK5	P35568	NO
O08560	Q63622	YES
Q93034	P46601	NO
Q06505	P23615	YES
P36406	P00520-4	NO
Q10567	O43747	YES
Q8NI60	P53855	NO
Q07817-1	P30429-2	YES
P55034	Q91ZK4	NO
Q13418	P48059	YES
Q84L32	P80206	NO
Q9FMP0	G3C9P1	YES
P43565	Q8N3U4	NO
P26039	Q8R5A3	YES
P84875	P34217	NO
P19538	Q9VFP2-2	YES
Q9GZX7	Q06628	NO
P29590-3	P04489	YES
O14745	P51809	NO
Q8TF05	P60510	YES
Q13309	Q8N3F8	NO
O43688	P41235-3	YES
P46937	Q46899	NO
P33748	P43565	YES
Q99697-3	Q07812	NO
Q92828	P55055	YES
P05783	P41235	NO
P04601	P43629	YES
O14745	P79063	NO
P04197	Q24572	YES
Q01826	Q7LBR1	NO
Q9VAF4	Q9V3J8	YES
Q5JII0	Q3E840	NO
Q07436	P10040	YES
Q43725	Q8SY33	NO
Q8WUM4	P69730	YES
P41738	P05480	NO
P56945	O75815-1	YES
O76080	Q8N1K5-1	NO
Q8SY33	P21187	YES
P14737	O43924	NO
Q43725	Q39218	YES
Q9HAU5	Q9Y294	NO
P53673	Q6P1W5	YES
P40204	Q8LAD0	NO
P53673	A9UHW6-2	YES
O88751-1	Q9Z2D6	NO
P35222	Q9BZE0	YES
P04591	Q8N1K5	NO
P40123	P63261	YES
Q99732	P00533	NO
P19320	P99999	YES
P51809	Q6A162	NO
Q5XUX0	Q13315	YES
P07550	Q63664	NO
P47735	P46014	YES
Q15831	Q9UQ80	NO
Q15843	P98170	YES
O76064	P11940	NO
Q46899	P76632	YES
P05648	O22932	NO
O43609	P22681	YES
O00499	P62993	NO
Q9GZM8	Q99959-2	YES
Q15836	Q9VQ91	NO
O60880	P20963	YES
Q17941	P25638	NO
Q9UPX8	P19174	YES
Q6P1J9	G5E962	NO
Q9Y376	Q7RTN6	YES
O15287	P70207	NO
Q9H0H5	Q9H8V3	YES
P01130	Q9WZ57	NO
Q92793	Q13351	YES
P40014	P97879	NO
P19320	Q13242	YES
P55884	P62837	NO
Q9NZC7	Q99732	YES
P18754	P32897	NO
P16144	Q05397	YES
Q9UPX8	Q9Y376	NO
O15294	P51610	YES
H7BX60	P84077	NO
Q8NF91-1	O94901	YES
P20606	Q9NEZ7	NO
P25440	Q13761	YES
Q01094	P9WHW5	NO
Q13094	P08487	YES
Q92547	P9WJ69	NO
P21580	P63101	YES
P33778	Q9H6L5-1	NO
O43295	O08838	YES
P08727	O43827	NO
P19524	P32526	YES
Q92878	Q14678-2	NO
O60716	P07949	YES
Q01454	Q02750	NO
Q04477	P40460	YES
P10275	Q8NFH8-2	NO
Q5JVL4	Q9NRA8	YES
P12931	P04626	NO
P0ABZ1	P0ACG1	YES
O95166	Q16629	NO
P84103	Q9UBU9	YES
P0AGE0	P16284	NO
Q16633	Q8IUQ4	YES
P42337	G5EEG7	NO
P46097	P10844	YES
P47027	P55957	NO
Q6P589	P63000-1	YES
Q7KZF4	Q67FY2	NO
Q92636	Q9GZQ8	YES
Q86UE4	Q9NZC7	NO
Q96J02	Q8NCT1	YES
Q8IZJ1	Q08379	NO
Q8BYR5	P84084	YES
P63279	Q71DI3	NO
P47027	P34252	YES
P32571	Q86UU0	NO
Q63564	P10845	YES
Q06078	P34756	NO
O43303	P41002	YES
O95639-1	O14836	NO
P25206	Q61881	YES
P38398	Q13492	NO
P63159	Q9Y6Y9	YES
P35918	P69931	NO
P50222	O75344	YES
O96006	Q14526	NO
P32354	P06701	YES
P33891	P33301	NO
Q02630	P48837	YES
P84243	Q9HBB8-2	NO
P40014	P33895	YES
Q9BYE9	Q9NVP2	NO
Q13501	Q14145	YES
Q8WUM4	Q9UKV5	NO
Q6FI35	P0CG48	YES
P32523	P53192	NO
P48023	O95407	YES
P11345	Q3KK31	NO
Q92851-4	P98170	YES
Q9UKT9	Q86VP1	NO
P32628	P38764	YES
P53673	O15111	NO
P24864	P38398	YES
O88846	Q9BY43	NO
Q16539	O43257	YES
O54992	Q08509	NO
Q8WXI8	P35609	YES
Q8N4C8	P13688	NO
Q30201	P61769	YES
Q96EP0	Q16531	NO
P08631	Q9WMX2	YES
Q01453	Q9D1J1	NO
P19320	Q9Y490	YES
Q02629	P05480	NO
P03519	P52948	YES
P49686	P19367	NO
P22681	P00533	YES
Q9BX63	Q9FIP9	NO
Q9VA38	Q95RA8	YES
P47735	Q15843	NO
Q9Y705	Q9URY2	YES
Q15717	Q9NP77-1	NO
Q9H0F7-1	Q1JQ97	YES
P54132	Q9UMR2-1	NO
Q9LD83	Q9M101	YES
P20357	Q9UNK0	NO
Q38912	Q9SFC6	YES
P09038	P14373	NO
Q9BXF6	E2RGW4	YES
P38526	Q9LSF1	NO
Q5ZUS4	P45973	YES
Q99959	P42684	NO
Q86UU0	Q02248	YES
Q96B97	Q9UI42-1	NO
P32571	P48582	YES
O80719	Q9WZF8	NO
O60333-3	Q96QZ7	YES
O43889-2	Q14457	NO
P21912	A6NFY7	YES
Q09065	P37231-1	NO
P63279	P19419	YES
Q9P0K1-1	Q08378	NO
P62331	Q02241	YES
Q13257	P32334	NO
Q9FNE9	P59226	YES
P63104	Q9H3P7	NO
P25054	P49841	YES
Q2HZL0	Q9WU42	NO
P61224	P47736	YES
Q9BSE2	P42260	NO
P12815	Q8N114	YES
Q96L93	Q7XJ80	NO
P02454	Q9UBG0	YES
P07363-2	P53350	NO
P09493-10	Q8N0S2	YES
Q9UBX5	P63165	NO
P10451-1	P42574	YES
O75030-9	P50222	NO
O15047	Q9UBL3-3	YES
Q8SAB7	O14796	NO
P17612	P10644	YES
P06681	Q13241	NO
P40984	Q9USX3	YES
O14796	Q96BA8	NO
Q9UQ80	P06748	YES
Q15831	Q9Y316	NO
Q62925	P61088	YES
Q5EAX5	O95202	NO
Q5JR59-3	Q99959-2	YES
P61081	Q9QUR7	NO
P43320	P07315	YES
Q9Y376	P04626	NO
Q8SAB7	Q9XGU0	YES
Q09472	P03502	NO
O14796	Q9UIB8	YES
Q01105	Q9NY27	NO
Q96E14-1	P54132	YES
Q183F3	Q96J02	NO
P35658-1	Q9UMR2-1	YES
P35222	P40123	NO
Q8I3V5	Q8IDQ2	YES
Q8TEW0	Q8BYR5	NO
Q9Z0J4	Q60857	YES
P10085	P22892	NO
Q9C005	Q9UBL3	YES
P61750	P41240	NO
O00206	Q9Y6Y9	YES
P42771	Q06708	NO
P48510	P55036	YES
E9M5R0	P10809	NO
Q13563	Q02363	YES
P0A6Y8	Q02574	NO
Q13257	Q562F6	YES
P16104	Q3U182	NO
P32334	Q06810	YES
P06241	Q8N0S2	NO
Q9UQB8-4	P63000	YES
Q8N2H9	Q8NI22	NO
Q9C593	Q38869	YES
Q9BVA1	P11274	NO
P55196	Q9NQS3	YES
Q18688	P30086	NO
P09651	Q07666	YES
P17844	Q9C9E3	NO
Q6NZ36-1	Q920Q2	YES
Q60855	O43257	NO
P73492	P74593	YES
P38074	P59595	NO
Q9D666	Q80VJ8	YES
Q8VCF0	P09326	NO
O43889-2	P55087	YES
Q12092	Q6JXI5	NO
Q96E14-1	Q4W5X0	YES
Q9ZA65	O75674	NO
P61586	Q60875	YES
P18850	Q15049	NO
P01112	P42337	YES
Q9P0K1-1	P25604	NO
P29590-1	Q13526	YES
Q9H9A7	Q07812	NO
P61916	O15118	YES
Q9BZW7	G5EFI6	NO
Q61221	Q16665	YES
P19490	P19785	NO
P28482	P0A2M9	YES
Q9QZ88-1	Q92783	NO
Q9Y6D5	P31323	YES
P62806	P15208	NO
O60333-3	Q63622	YES
Q14565	P78395	NO
Q9UBQ0	Q96QK1	YES
Q8L940	Q12330	NO
P35609	P05496	YES
Q63633	Q13049	NO
Q8N2W9	P09874	YES
Q9HAU4	Q92786	NO
Q9HB96	Q00597	YES
Q15003	P42844	NO
P37571	P37958	YES
O48963	Q66PJ3-4	NO
P46936	Q13625-2	YES
Q55436	P31016	NO
Q9UBL3-3	Q9UMN6	YES
Q96DZ9-2	Q60857	NO
Q59HN8	P06628	YES
Q15369	Q61527	NO
Q9RPY1	Q7CEG3	YES
P30260	Q71DI3	NO
P49675	G5E962	YES
P61981	P63045	NO
Q9H1Y0	Q7Z434-1	YES
Q0WP44	Q99732	NO
Q07817-1	P70444	YES
Q15369	P43254	NO
Q62226	Q4KMG0	YES
P39007	Q6ZW61	NO
Q9WZF8	P38526	YES
Q01147	P01903	NO
O80719	Q9LSF1	YES
P54274-2	P05813	NO
A7BFV9	Q9D1J1	YES
P39935	Q04206	NO
Q9H0F7-1	Q8NFJ9	YES
P32505	D4A055-2	NO
P02299	O15265	YES
P38217	D4A055	NO
O15040	Q9GZQ8	YES
Q8VI36	Q8L940	NO
P19320	Q9ULH0	YES
Q7M6U3	O96033	NO
Q9SII8	P55034	YES
Q96J02	P35908	NO
P41695	P40957	YES
P61956	Q61090	NO
Q55169	Q55168	YES
Q62108	Q8IZL8	NO
O00499	Q13496	YES
Q9NPI6	P9WKW7	NO
P11442	Q01968	YES
Q9LZM1	Q60857	NO
Q12143	P40014	YES
P10276	P38182	NO
Q3KK32	Q3KK29	YES
P35609	O43257	NO
P33993	P07948-1	YES
Q62219	P87169	NO
Q5VST9-3	P16157-17	YES
Q9M394	Q8K4J6	NO
Q14152	P23588	YES
P08191	Q00610	NO
P49238	P78423	YES
Q9H444	Q99836-1	NO
Q9H160	P63165	YES
P15056	Q9UNP9	NO
Q8NBW4	Q7L523	YES
Q9XIB5	Q60598	NO
Q13501	Q6IAW1	YES
Q9UH99	Q5W0Q7	NO
Q6ZKC0	Q7XI96	YES
P02786	P62258	NO
Q00944	P00533	YES
P62807	O13734	NO
Q6AI12	P23526	YES
Q09760	Q13362	NO
Q12018	Q06682	YES
P29350	P43629	NO
Q39238	Q9LS09	YES
P36873	Q10225	NO
P11717	Q9NZ52	YES
Q14974	P11717	NO
P62805	P43583	YES
P06700	P34144	NO
P48168	Q8BUV3	YES
Q96AJ9	P06240	NO
Q13616	Q9Y4X5	YES
Q8BGW0	Q12923	NO
P22216	P34217	YES
Q07817-1	Q9H444	NO
P15085	P84875	YES
P10415	Q13526	NO
P29382	P48007	YES
P01552	Q5ZXA4	NO
P10415	Q07812	YES
P01106	P14291	NO
Q9GZQ8	Q9GZZ9	YES
P38764	P38398	NO
Q13241	P26715	YES
P83940	P52948	NO
P41235	Q92786	YES
O94817	Q16637	NO
P05783	O14964	YES
P51617	P68619	NO
O13016	P46108	YES
Q05062	Q8C4Q6-1	NO
P12003-2	P49024	YES
Q15561	P04637	NO
Q7LG56	Q9H4P4	YES
Q00534	P78423	NO
O43865	P42773	YES
